NAME,lat,lng,index
北京,40.045975,116.39825,1
天津,39.090521,117.311286,2
石家庄,38.02655,114.505,3
唐山,39.64495,118.182833,4
秦皇岛,39.93616,119.6068,5
邯郸,36.60785,114.514,6
保定,38.876267,115.485,7
张家口,40.81686,114.8956,8
承德,40.96416,117.9274,9
廊坊,39.545975,116.7295,10
沧州,38.315767,116.871333,11
衡水,37.7448,115.676333,12
邢台,37.0771,114.5065,13
太原,37.8572,112.522222,14
呼和浩特,40.801462,111.665375,15
沈阳,41.808382,123.449,16
大连,38.94953,121.6278,17
长春,43.82821,125.355,18
哈尔滨,45.738142,126.648,19
上海,31.209056,121.456556,20
南京,32.062567,118.775,21
苏州,31.301512,120.60525,22
南通,31.99044,120.8786,23
连云港,34.6568,119.25825,24
徐州,34.255843,117.215714,25
扬州,32.3943,119.423,26
无锡,31.568913,120.290125,27
常州,31.787433,119.961667,28
镇江,32.1772,119.525,29
泰州,32.428675,119.898,30
淮安,33.58214,119.0358,31
盐城,33.39075,120.157,32
宿迁,33.95565,118.281,33
杭州,30.211173,120.081909,34
宁波,29.867937,121.620125,35
温州,27.99855,120.6855,36
绍兴,30.03,120.593,37
湖州,30.8576,120.087667,38
嘉兴,30.6658,120.714,39
台州,28.6258,121.356333,40
舟山,29.990167,122.207,41
金华,29.097667,119.660667,42
衢州,28.960433,118.865667,43
丽水,28.444367,119.907667,44
合肥,31.84824,117.2478,45
福州,26.0639,119.331333,46
南昌,28.692856,115.877444,48
济南,36.64675,116.976875,49
青岛,36.150211,120.393,50
郑州,34.776689,113.652,51
武汉,30.5396,114.2538,52
长沙,28.20522,112.9835,53
深圳,22.599273,114.163909,55
珠海,22.285925,113.499,56
佛山,22.9843,113.0655,57
中山,22.5168,113.4035,58
江门,22.578475,113.071,59
东莞,23.024,113.7616,60
惠州,22.96128,114.4178,61
肇庆,23.090925,112.48375,62
南宁,22.8033,108.321375,63
海口,20.00918,110.37,64
重庆,29.594882,106.509353,65
成都,30.7064,104.014375,66
昆明,25.0129,102.708286,68
拉萨,29.652617,91.097,69
西安,34.304985,108.989923,70
兰州,36.04752,103.8326,71
西宁,36.6509,101.71375,72
银川,38.50275,106.146167,73
乌鲁木齐,43.868886,87.559614,74
贵阳,26.3003,106.805,77
株洲,27.8336,113.251,78
湘潭,27.91585,112.7465,79
包头,40.627783,109.908333,80
鄂尔多斯,39.72498,109.902,81
营口,40.67465,122.223,82
丹东,40.119575,124.37925,83
盘锦,41.1167,121.971333,84
葫芦岛,40.7384,120.86475,85
泉州,24.9284,118.614,86
莱芜,36.214,117.693,87
临沂,35.0477,118.3285,88
德州,37.455233,116.299333,89
聊城,36.457867,115.988333,90
滨州,37.378333,117.995333,91
淄博,36.734233,118.009167,92
枣庄,34.81762,117.522,93
烟台,37.502817,121.374167,94
潍坊,36.71272,119.142,95
济宁,35.415433,116.590667,96
泰安,36.188067,117.113333,97
日照,35.412467,119.508,98
威海,37.4897,122.093,99
东营,37.429875,118.6435,100
韶关,24.76842,113.6028,101
汕头,23.331067,116.648667,102
湛江,21.23675,110.391333,103
茂名,21.617975,110.931,104
梅州,24.288733,116.111,105
汕尾,22.785767,115.366,106
河源,23.746267,114.687,107
阳江,21.859067,111.959667,108
清远,23.677133,113.042,109
潮州,23.665033,116.632333,110
揭阳,23.54675,116.3655,111
云浮,22.936733,112.043333,112
玉溪,24.356933,102.539,113
菏泽,35.252133,115.451,114
大同,40.097383,113.308,115
长治,36.18846,113.1054,116
临汾,36.076483,111.513333,117
阳泉,37.8607,113.562167,118
赤峰,42.2103,119.00775,119
鞍山,41.091886,123.023,120
抚顺,41.863283,123.910833,121
本溪,41.312117,123.784667,122
锦州,41.05882,121.1186,123
吉林,43.850857,126.559857,124
齐齐哈尔,47.30534,123.8758,125
牡丹江,44.5782,129.6192,126
大庆,46.43226,124.9672,127
芜湖,31.36785,118.374,128
马鞍山,31.69678,118.5248,129
九江,29.675713,115.998875,130
洛阳,34.659,112.421429,131
安阳,36.08646,114.368,132
开封,34.793625,114.3355,133
焦作,35.22085,113.23325,134
平顶山,33.7296,113.2755,135
三门峡,34.79065,111.1715,136
宜昌,30.70758,111.3106,137
荆州,30.324833,112.250333,138
岳阳,29.403617,113.1505,139
常德,29.04046,111.6944,140
张家界,29.2332,110.48775,141
桂林,25.26875,110.323,142
北海,21.49845,109.1615,143
柳州,24.340317,109.431667,144
三亚,18.2585,109.502,145
绵阳,31.47535,104.733,146
宜宾,28.775133,104.620333,147
泸州,28.9,105.43475,149
自贡,29.354725,104.755,150
德阳,31.1204,104.39225,151
南充,30.803067,106.086167,152
遵义,27.6816,106.9156,153
曲靖,25.51995,103.795,154
咸阳,34.34795,108.714,155
铜川,34.987,109.00725,156
延安,36.6044,109.46925,157
